"Class","Sensitivity","Specificity","Precision","F1_Score","Balanced_Accuracy"
"Attitude",0.274193548387097,0.947368421052632,0.204819277108434,0.23448275862069,0.610780984719864
"Competitor",0.31547619047619,0.928571428571429,0.392592592592593,0.34983498349835,0.62202380952381
"Dissatisfaction",0.28125,0.920926517571885,0.153846153846154,0.198895027624309,0.601088258785943
"No Churn",0.751059322033898,0.916666666666667,0.958108108108108,0.842042755344418,0.833862994350282
"Other",0.305555555555556,0.90234375,0.0808823529411765,0.127906976744186,0.603949652777778
"Price",0.238095238095238,0.925431711145997,0.0952380952380952,0.136054421768707,0.581763474620618
